COVID-19 Vaccinations in the United States
Date generated: Sun Oct 24 2021 16:28:43 GMT-0600 (Mountain Daylight Time)
State/Territory/Federal Entity,Total Doses Delivered,Doses Delivered per 100K,18+ Doses Delivered per 100K,Total Doses Administered by State where Administered,Doses Administered per 100k by State where Administered,18+ Doses Administered by State where Administered,18+ Doses Administered per 100K by State where Administered,People with at least One Dose by State of Residence,Percent of Total Pop with at least One Dose by State of Residence,People 18+ with at least One Dose by State of Residence,Percent of 18+ Pop with at least One Dose by State of Residence,People Fully Vaccinated by State of Residence,Percent of Total Pop Fully Vaccinated by State of Residence,People 18+ Fully Vaccinated by State of Residence,Percent of 18+ Pop Fully Vaccinated by State of Residence,Total Number of Pfizer doses delivered,Total Number of Moderna doses delivered,Total Number of Janssen doses delivered,Total Number of doses from unknown manufacturer delivered,Total Number of Janssen doses administered,Total Number of Moderna doses administered,Total Number of Pfizer doses adminstered,Total Number of doses from unknown manufacturer administered,People Fully Vaccinated Moderna Resident,People Fully Vaccinated Pfizer Resident,People Fully Vaccinated Janssen Resident,People Fully Vaccinated Unknown 2-dose manufacturer Resident,People 18+ Fully Vaccinated Moderna Resident,People 18+ Fully Vaccinated Pfizer Resident,People 18+ Fully Vaccinated Janssen Resident,People 18+ Fully Vaccinated Unknown 2-dose manufacturer Resident,People with 2 Doses by State of Residence,Percent of Total Pop with 1+ Doses by State of Residence,People 18+ with 1+ Doses by State of Residence,Percent of 18+ Pop with 1+ Doses by State of Residence,Percent of Total Pop with 2 Doses by State of Residence,People 18+ with 2 Doses by State of Residence,Percent of 18+ Pop with 2 Doses by State of Residence,People with 1+ Doses by State of Residence,People 65+ with at least One Dose by State of Residence,Percent of 65+ Pop with at least One Dose by State of Residence,People 65+ Fully Vaccinated by State of Residence,Percent of 65+ Pop Fully Vaccinated by State of Residence,People 65+ Fully Vaccinated_Moderna_Resident,People 65+ Fully Vaccinated_Pfizer_Resident,People 65+ Fully Vaccinated_Janssen_Resident,People 65+ Fully Vaccinated_Unknown 2-dose Manuf_Resident,65+ Doses Administered by State where Administered,Doses Administered per 100k of 65+ pop by State where Administered,Doses Delivered per 100k of 65+ pop,People 12+ with at least One Dose by State of Residence,Percent of 12+ Pop with at least One Dose by State of Residence,People 12+ Fully Vaccinated by State of Residence,Percent of 12+ Pop Fully Vaccinated by State of Residence,People 12+ Fully Vaccinated_Moderna_Resident,People 12+ Fully Vaccinated_Pfizer_Resident,People 12+ Fully Vaccinated_Janssen_Resident,People 12+ Fully Vaccinated_Unknown 2-dose Manuf_Resident,12+ Doses Administered by State where Administered,Doses Administered per 100k of 12+ pop by State where Administered,Doses Delivered per 100k of 12+ pop,People who have received a booster dose,Percent of fully vaccinated people with booster doses,People 18+ who have received a booster dose,Percent of fully vaccinated people 18+ with booster doses,People 50+ who have received a booster dose,Percent of fully vaccinated people 50+ with booster doses,People 65+ who have received a booster dose,Percent of fully vaccinated people 65+ with booster doses,People with Moderna booster dose,People with Pfizer booster dose,People with Janssen booster dose,People with booster dose of an unknown manufacturer
District of Columbia,1289905,182771,223329,1050189,148805,1009400,174763,518781,73.5,493161,85.4,437594,62,419267,72.6,738405,493200,58300,0,31485,382929,635326,449,157789,244193,35333,279,157721,225973,35312,261,402851,73.5,493161,85.4,57.1,384543,66.6,518781,84632,96.9,74641,85.5,40085,32482,2633,46,201405,230591,1476830,518661,85.1,437541,71.8,157782,244153,35330,276,1050091,172216,211545,23149,5.3,23101,5.5,16685,22.4,12097,16.2,N/A,N/A,N/A,N/A
Dept of Defense,5536790,N/A,N/A,6160016,N/A,5850477,N/A,3348162,N/A,3180207,N/A,2609011,N/A,2475655,N/A,3431790,1906400,198600,0,268212,2137632,3738227,15945,852747,1521587,234624,53,852591,1388570,234441,53,2374883,N/A,3180207,N/A,0,2241708,0,3348162,257011,0,160380,0,55468,97429,7483,0,460607,0,0,3347964,0,2608938,0,852730,1521553,234602,53,6159754,0,0,525,0,523,0,14,0,6,0,N/A,N/A,N/A,N/A
Delaware,1632535,167652,211965,1279997,131448,1197499,155481,667493,68.5,625684,81.2,579807,59.5,544309,70.7,921255,642580,68700,0,51730,480172,746580,1515,210676,317364,51268,499,210553,282052,51212,492,528856,68.5,625684,81.2,54.3,493410,64.1,667493,189846,99.9,168210,89,68643,90162,9361,271,392203,207618,864205,667303,79.5,579753,69,210665,317330,51259,499,1279762,152388,194394,43784,7.6,43728,8,39163,23.3,31496,18.7,N/A,N/A,N/A,N/A
Florida,34669605,161421,201009,28096930,130819,26545772,153908,14749133,68.7,13906534,80.6,12747667,59.4,12061441,69.9,19403745,13403760,1862100,0,1232837,10305307,16456489,102297,4492407,7007452,1217436,30372,4490694,6324705,1215886,30156,11541844,68.7,13906534,80.6,53.7,10857117,62.9,14749133,4408783,98,3862297,85.9,1864912,1789888,203444,18271,9293552,206646,770892,14740935,78.8,12745889,68.2,4491694,7007189,1216638,30368,28087763,150234,185438,982783,7.7,981268,8.1,878872,22.8,704742,18.2,N/A,N/A,N/A,N/A
Federated States of Micronesia,88470,85360,109593,75240,72595,74014,91685,45808,44.2,45113,55.9,40227,38.8,39668,49.1,2970,74000,11500,0,11796,62188,1256,0,28277,686,11263,1,28272,155,11240,1,29008,44.2,45113,55.9,28,28472,35.3,45808,3565,20.3,3287,18.7,2235,7,1045,0,5864,33392,503787,45794,51.7,40218,45.4,28276,686,11255,1,75225,84991,99956,52,0.1,50,0.1,14,0.4,3,0.1,N/A,N/A,N/A,N/A
Georgia,15356735,144637,189273,11223611,105709,10522829,129695,5989233,56.4,5588417,68.9,5051673,47.6,4750241,58.5,8377875,6320560,658300,0,281161,4417054,6515099,10297,1961653,2807024,279703,3293,1960822,2507062,279270,3087,4775880,56.4,5588417,68.9,45,4474823,55.2,5989233,1344232,88.6,1184381,78.1,644720,509168,33172,1554,2776775,183049,1012340,5986878,66.6,5051113,56.2,1961595,2806636,279594,3288,11220845,124841,170856,285654,5.7,285018,6,235230,19.9,171718,14.5,N/A,N/A,N/A,N/A
Guam,247230,149142,191482,253565,152964,227433,176149,131735,79.5,117760,91.2,120530,72.7,108436,84,150150,76580,20500,0,10307,79403,163814,41,36947,73860,9723,0,36933,61786,9717,0,110840,79.5,117760,91.2,66.9,98752,76.5,131735,16481,58.7,15499,55.2,6300,8675,533,0,35339,125820,880229,131705,93,120517,85.1,36946,73849,9722,0,253523,179090,174644,8199,6.8,8196,7.6,6158,39.7,3583,23.1,N/A,N/A,N/A,N/A
Hawaii,2490360,175889,223150,1957661,138265,1832097,164166,1108943,78.3,1031453,92.4,842535,59.5,792484,71,1464900,924460,101000,0,51292,624587,1187766,94016,271665,500675,52062,18133,271058,451413,51897,18116,790682,78.3,1031453,92.4,55.8,740793,66.4,1108943,282365,99.9,234042,87.2,96565,126571,10037,1416,539974,201147,927688,1105119,91.2,841015,69.4,271615,499252,52026,18122,1953048,161261,205626,60458,7.2,60349,7.6,47625,20.3,35132,15,N/A,N/A,N/A,N/A
Iowa,4522545,143342,186249,3630664,115074,3406700,140296,1868758,59.2,1750918,72.1,1741924,55.2,1637477,67.4,2534145,1758500,229900,0,148599,1400865,2080810,390,672487,922685,146511,241,672291,818515,146431,240,1596038,59.2,1750918,72.1,50.6,1491664,61.4,1868758,515424,93.2,494383,89.4,259446,221927,13686,108,1097230,198431,817888,1868666,69.8,1741896,65.1,672480,922666,146509,241,3630606,135659,168986,140869,8.1,140694,8.6,120355,24.3,95825,19.4,N/A,N/A,N/A,N/A
Idaho,2383960,133401,178058,1677487,93868,1676252,125200,869052,48.6,866586,64.7,776214,43.4,774564,57.9,1324080,935880,124000,0,68495,661410,945248,2334,299668,407755,68220,571,299646,406155,68198,565,708600,48.6,866586,64.7,39.7,706972,52.8,869052,255714,88,239266,82.3,109986,118066,11316,243,543092,186841,820160,0,0,0,0,0,0,0,0,0,0,0,75454,9.7,75452,9.7,63851,26.7,49689,20.8,N/A,N/A,N/A,N/A
Indian Health Svc,2200095,105631,N/A,1708078,82008,1563174,N/A,923646,44.3,843743,N/A,767261,36.8,702481,N/A,1066215,1044880,89000,0,33515,829683,844768,112,368032,365847,33376,6,367726,301431,33318,6,734021,44.3,843743,N/A,35.2,669294,0,923646,158982,0,132495,0,74315,55019,3160,1,308510,0,0,923218,0,767076,0,367957,365758,33355,6,1707444,0,0,42162,5.5,42045,6,30845,23.3,17110,12.9,N/A,N/A,N/A,N/A
Illinois,18960385,149626,192414,15703598,123925,14537866,147533,8815456,69.6,8145050,82.7,6897444,54.4,6411561,65.1,10975125,7056660,928600,0,555852,5622831,9504419,20496,2405899,3939473,545491,6581,2399366,3462689,543030,6476,6354741,69.6,8145050,82.7,50.1,5871297,59.6,8815456,1979976,96.9,1613801,79,727726,812681,75728,3049,3754545,183755,927960,8789461,81.1,6882846,63.5,2405854,3924949,545462,6581,15662109,144514,174947,268873,3.9,268216,4.2,217991,13.5,165211,10.2,N/A,N/A,N/A,N/A
Indiana,8882940,131947,172008,7088039,105285,6670078,129159,3596924,53.4,3376178,65.4,3338495,49.6,3147521,60.9,5095320,3314920,472700,0,260501,2538780,4263589,25169,1189325,1885215,256509,7446,1189029,1694867,256258,7367,3084823,53.4,3376178,65.4,45.8,2894063,56,3596924,951151,87.6,917703,84.5,450254,436223,29422,3652,2082582,191812,818144,3596525,63,3338339,58.5,1189310,1885094,256489,7446,7087549,124233,155703,259598,7.8,259117,8.2,224453,24.5,176701,19.3,N/A,N/A,N/A,N/A
Kansas,4149605,142436,187505,3270476,112260,3043290,137515,1802853,61.9,1678249,75.8,1539866,52.9,1436087,64.9,2266125,1673280,210200,0,110037,1252937,1905908,1594,583240,847671,108459,496,582903,744393,108357,434,1432279,61.9,1678249,75.8,49.2,1328596,60,1802853,481754,99.9,407923,85.8,195001,196904,17510,222,926022,194752,872706,1802683,73.5,1539830,62.8,583232,847651,108451,496,3270297,133389,169254,107972,7,107737,7.5,90319,22.1,71028,17.4,N/A,N/A,N/A,N/A
Kentucky,6186305,138468,178547,5230895,117083,4921065,142030,2791251,62.5,2621517,75.7,2433385,54.5,2293470,66.2,3251745,2632160,302400,0,205366,2122123,2901926,1480,968726,1261038,202224,1397,968487,1121543,202097,1343,2232469,62.5,2621517,75.7,50,2092677,60.4,2791251,718584,95.7,639647,85.2,291263,310040,38508,708,1435807,191297,824221,2790813,73.3,2433309,63.9,968713,1261008,202193,1395,5229718,137401,162534,192197,7.9,191909,8.4,163105,25.5,124476,19.5,N/A,N/A,N/A,N/A
Louisiana,6066200,130490,170343,4791611,103072,4535260,127353,2488341,53.5,2345542,65.9,2200755,47.3,2087011,58.6,3213600,2586800,265800,0,163530,1949130,2676641,2310,889073,1154114,156616,952,888591,1041019,156457,944,2045298,53.5,2345542,65.9,44,1931709,54.2,2488341,650477,87.8,617859,83.4,296157,307250,22269,198,1390179,187603,818626,2488044,63.4,2200638,56.1,889051,1154042,156593,952,4791231,122122,154619,182617,8.3,182293,8.7,154965,25.1,117365,19,N/A,N/A,N/A,N/A
Massachusetts,11646710,168976,210241,10245452,148646,9511579,171698,5476853,79.5,5078590,91.7,4778069,69.3,4439482,80.1,6621870,4521340,503500,0,342544,3841338,6061115,455,1758612,2673905,345401,151,1753311,2341854,344184,133,4435398,79.5,5078590,91.7,64.4,4098014,74,5476853,1218043,99.9,1050899,89.9,473175,510583,69584,52,2396830,204974,996014,5459991,90.7,4766528,79.2,1758604,2662381,345392,151,10216799,169806,193572,310723,6.5,310236,7,256988,24.5,195554,18.6,N/A,N/A,N/A,N/A
Maryland,10599110,175317,224987,8379027,138595,7741330,164325,4383458,72.5,4045674,85.9,3978145,65.8,3682392,78.2,6168330,3951380,479400,0,303391,3022877,5040646,12113,1406414,2270604,297899,3228,1405935,1975672,297692,3093,3686365,72.5,4045674,85.9,61,3390785,72,4383458,940087,98,877275,91.4,414820,410484,53323,853,1942596,202481,1104770,4382805,84.9,3977925,77,1406376,2270461,297863,3225,8378384,162281,205294,285361,7.2,284802,7.7,232981,26.6,173565,19.8,N/A,N/A,N/A,N/A
Maine,2302770,171310,210228,1918448,142719,1803563,164653,1019187,75.8,959472,87.6,942351,70.1,888391,81.1,1228230,949340,125200,0,120434,750711,1045880,1423,355632,467546,118846,327,355571,413751,118773,296,824075,75.8,959472,87.6,61.3,770181,70.3,1019187,290035,99.9,269323,94.4,122350,123964,23069,145,590588,207031,807239,1019072,86,942315,79.5,355625,467537,118826,327,1918323,161893,194337,68052,7.2,67978,7.7,60582,22.5,49533,18.4,N/A,N/A,N/A,N/A
Marshall Islands,57140,97821,125591,42025,71945,41224,90608,23753,40.7,23074,50.7,20218,34.6,20177,44.3,2340,43500,11300,0,2162,39107,754,2,18049,15,2153,1,18019,13,2144,1,18073,40.7,23074,50.7,30.9,18041,39.7,23753,1322,13.4,1151,11.6,1051,0,100,0,2381,24058,577347,23727,47.6,20207,40.5,18041,15,2150,1,41989,84173,114546,9,0,9,0,3,0.3,0,0,N/A,N/A,N/A,N/A
Michigan,14303690,143225,182377,11230996,112458,10583640,134945,5774882,57.8,5435894,69.3,5317328,53.2,5015099,63.9,7729950,5856840,716900,0,377419,4263261,6588638,1678,2014164,2923933,378309,922,2013518,2622692,378030,859,4941338,57.8,5435894,69.3,49.5,4639355,59.2,5774882,1584179,89.7,1490523,84.4,743482,681427,67379,538,3300230,186939,810223,5774432,67.2,5317199,61.9,2014145,2923843,378291,920,11230472,130663,166419,473799,8.9,473186,9.4,396511,26.6,300017,20.1,N/A,N/A,N/A,N/A
Minnesota,8428860,149458,194371,7057592,125143,6546708,150968,3654361,64.8,3389153,78.2,3357757,59.5,3114060,71.8,4857180,3166980,404700,0,300488,2521666,4232794,2644,1182640,1873067,301233,817,1180522,1632055,300702,781,3058869,64.8,3389153,78.2,54.2,2815690,64.9,3654361,891366,96.8,840403,91.3,350076,442782,48926,210,1895897,205990,915800,3643172,76.2,3349651,70.1,1182628,1864994,301212,817,7038030,147298,176407,327842,9.8,327366,10.5,269224,32,212434,25.3,N/A,N/A,N/A,N/A
Missouri,8277595,134871,173649,6644019,108254,6252438,131165,3458788,56.4,3247579,68.1,3031357,49.4,2854005,59.9,4714515,3221780,341300,0,211338,2327699,4102774,2208,1066583,1751198,213082,494,1066196,1574566,212843,400,2819848,56.4,3247579,68.1,45.9,2642713,55.4,3458788,938326,88.4,849940,80,385799,428191,37993,167,1946284,183260,779407,3458370,66.1,3031283,57.9,1066571,1751160,213058,494,6643578,126890,158099,233016,7.7,232652,8.2,195524,23,151284,17.8,N/A,N/A,N/A,N/A
Northern Mariana Islands,86860,152702,196055,71884,126374,63139,142513,36201,63.6,31679,71.5,34662,60.9,30435,68.7,63300,20760,2800,0,806,9779,61299,0,4653,29200,809,0,4652,24974,809,0,33855,63.6,31679,71.5,59.5,29628,66.9,36201,2951,30.6,2894,30,470,2334,90,0,6395,66352,901224,36201,74.5,34662,71.4,4653,29200,809,0,71884,147983,178813,1871,5.4,1869,6.1,1351,46.7,649,22.4,N/A,N/A,N/A,N/A
Mississippi,4011785,134798,176144,2930326,98460,2758263,121106,1538642,51.7,1442722,63.3,1348741,45.3,1271712,55.8,2154705,1674480,182600,0,74689,1182765,1670932,1940,536157,737570,74548,466,535857,660945,74462,448,1275036,51.7,1442722,63.3,42.8,1198089,52.6,1538642,416521,85.6,387161,79.5,198185,173578,16860,222,854649,175603,824295,1538404,61,1348663,53.5,536146,737515,74536,466,2930032,116205,159108,94044,7,93813,7.4,81268,21,59996,15.5,N/A,N/A,N/A,N/A
Montana,1435885,134348,170900,1158737,108417,1094862,130311,602201,56.3,567594,67.6,534426,50,505901,60.2,749745,601240,84900,0,48801,478209,630657,1070,218161,268392,47566,307,218052,240025,47521,303,487420,56.3,567594,67.6,45.6,458934,54.6,602201,182665,88.5,168785,81.8,80898,78624,9369,165,380100,184124,695556,602054,65.6,534377,58.2,218142,268368,47560,307,1158533,126257,156483,52031,9.7,51938,10.3,43922,26,34390,20.4,N/A,N/A,N/A,N/A
North Carolina,15388530,146724,187955,12098476,115354,11333537,138427,6606809,63,6189263,75.6,5483425,52.3,5145109,62.8,8662110,5997520,728900,0,427312,4384329,7286087,748,1972022,3091020,420278,105,1969144,2756965,418897,103,5064372,63,6189263,75.6,48.3,4727430,57.7,6606809,1742813,99.5,1428149,81.6,683304,699776,47849,48,3338776,190668,878795,6598565,73.4,5478395,61,1971964,3086066,420260,105,12085172,134496,171259,270073,4.9,269797,5.2,217753,15.2,159709,11.2,N/A,N/A,N/A,N/A
North Dakota,997460,130890,171417,798109,104730,755177,129780,402972,52.9,381070,65.5,349274,45.8,331203,56.9,566760,388300,42400,0,33620,301450,462740,299,134201,184471,30599,3,134003,166731,30466,3,318798,52.9,381070,65.5,41.8,300858,51.7,402972,107939,90.1,93860,78.3,45536,44593,3943,0,227454,189790,832292,402350,63.1,348927,54.8,134196,184132,30596,3,797060,125079,156527,32554,9.3,32518,9.8,26603,28.3,20068,21.4,N/A,N/A,N/A,N/A
Nebraska,2741630,141730,187997,2287986,118278,2130444,146088,1172499,60.6,1089323,74.7,1082253,55.9,1008440,69.2,1598550,1018780,124300,0,80353,825597,1377114,4922,389458,611259,80227,1309,389301,537729,80153,1257,1002711,60.6,1089323,74.7,51.8,928967,63.7,1172499,290841,93.1,277232,88.7,134909,135497,6619,819,637414,204000,877440,1172208,72.5,1082159,66.9,389434,611209,80209,1307,2287601,141436,169508,88101,8.1,87941,8.7,72755,26.2,58538,21.1,N/A,N/A,N/A,N/A
New Hampshire,2266650,166701,205227,1881623,138384,1754779,158881,1006438,74,946592,85.7,851813,62.6,802216,72.6,1269450,866500,130700,0,94520,710064,1076976,63,325779,455183,70791,60,325527,405897,70736,56,781210,74,946592,85.7,57.5,731667,66.2,1006438,289320,99.9,225619,88.9,94776,116714,14412,30,509296,200618,892860,1005643,83.9,851588,71.1,325677,455085,70766,60,1880614,156905,189113,11810,1.4,11784,1.5,9729,4.3,7101,3.1,N/A,N/A,N/A,N/A
New Jersey,14740915,165960,212295,12082885,136035,11202568,161336,6610736,74.4,6133871,88.3,5861950,66,5448479,78.5,8406675,5634140,700100,0,451478,4537037,7093999,371,2135054,3268380,458327,189,2134455,2855809,458041,174,5406307,74.4,6133871,88.3,60.9,4993109,71.9,6610736,1437357,97.4,1290147,87.4,600751,605447,86630,53,2813929,190706,999022,6609876,86.8,5861738,76.9,2135019,3268266,458264,189,12081983,158590,193492,386046,6.6,385293,7.1,321140,24.9,227415,17.6,N/A,N/A,N/A,N/A
New Mexico,3143205,149903,193906,2950926,140733,2731521,168509,1585981,75.6,1460611,90.1,1376253,65.6,1270042,78.3,1697205,1294800,151200,0,100332,1193693,1650448,6453,546020,728144,100300,1789,545620,622504,100150,1768,1276831,75.6,1460611,90.1,60.9,1170759,72.2,1585981,388627,99.9,346134,91.7,166096,171353,21167,944,773138,204747,832403,1585651,88.7,1376156,77,546001,728079,100287,1789,2950570,165073,175850,130579,9.5,130360,10.3,103020,29.8,69234,20,N/A,N/A,N/A,N/A
Nevada,4257280,138216,178314,3573760,116025,3348311,140242,1933697,62.8,1807113,75.7,1617387,52.5,1521578,63.7,2522880,1523700,210700,0,155942,1236585,2180934,299,560035,903579,153734,39,559936,807913,153691,38,1464080,62.8,1807113,75.7,47.5,1368313,57.3,1933697,446902,90.1,390112,78.7,181943,185308,24474,22,894372,180327,858371,1933596,73.8,1617347,61.7,560031,903547,153730,39,3573704,136307,162380,96670,6,96567,6.3,82019,21,63876,16.4,N/A,N/A,N/A,N/A
